categoryId,comments_disabled,ratings_disabled,duration_seconds,has_thumbnail,ordinal_trending_date,ordinal_publish_date,days_published,target_average_category,likes_average_category,dislikes_average_category,views_average_category,comment_average_category,has_tag,has_description,target
24,False,False,1335.0,True,738125,738124,0,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,True,True,0.10783164
23,False,False,28.0,True,738125,738123,1,0.0824916114898441,130485.77469738384,1985.7491214369384,1901592.7711831315,7480.86138227255,False,True,0.07046845
27,False,False,728.0,True,738125,738124,0,0.0677883517706569,92428.59584980235,1828.2168972332013,1481376.8858695652,7176.046936758893,False,True,0.073810585
23,False,False,829.0,True,738125,738124,0,0.0824916114898441,130485.77469738384,1985.7491214369384,1901592.7711831315,7480.86138227255,True,True,0.11139828
23,False,False,31.0,True,738125,738124,0,0.0824916114898441,130485.77469738384,1985.7491214369384,1901592.7711831315,7480.86138227255,False,True,0.054572355
20,False,False,150.0,True,738125,738124,0,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.06567561
24,False,False,24.0,True,738125,738124,0,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,False,False,0.069066845
20,False,False,110.0,True,738125,738124,0,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,False,True,0.06794695
22,False,False,10.0,True,738125,738123,1,0.0677970489936238,131517.5985144152,3656.724285534433,2161102.035125268,8992.710562759663,False,True,0.053000413
10,False,False,210.0,True,738125,738124,0,0.0758099960107421,319278.1952746604,6025.801004134672,4654299.678145304,36911.48044890726,False,True,0.119625
10,False,False,232.0,True,738125,738124,0,0.0758099960107421,319278.1952746604,6025.801004134672,4654299.678145304,36911.48044890726,True,True,0.15825455
20,False,False,175.0,True,738125,738124,0,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.061961647
24,False,False,482.0,True,738125,738123,1,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,True,True,0.077844895
22,False,False,1161.0,True,738125,738124,0,0.0677970489936238,131517.5985144152,3656.724285534433,2161102.035125268,8992.710562759663,True,True,0.11285297
20,False,False,7350.0,True,738125,738122,2,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.04134678
24,False,False,76.0,True,738125,738124,0,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,True,True,0.035170447
20,False,False,33.0,True,738125,738123,1,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.06556919
22,False,False,702.0,False,738125,738123,1,0.0677970489936238,131517.5985144152,3656.724285534433,2161102.035125268,8992.710562759663,True,True,0.05624439
22,False,False,407.0,True,738125,738124,0,0.0677970489936238,131517.5985144152,3656.724285534433,2161102.035125268,8992.710562759663,True,True,0.066147596
20,False,False,1130.0,True,738125,738124,0,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.080823496
27,False,False,1343.0,True,738125,738124,0,0.0677883517706569,92428.59584980235,1828.2168972332013,1481376.8858695652,7176.046936758893,True,True,0.08126333
10,False,False,226.0,True,738125,738123,1,0.0758099960107421,319278.1952746604,6025.801004134672,4654299.678145304,36911.48044890726,True,True,0.08462568
20,False,False,60.0,True,738125,738122,2,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,False,False,0.12087505
24,False,False,872.0,False,738125,738123,1,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,True,True,0.058505338
28,False,False,1007.0,True,738125,738124,0,0.0468949418633465,115417.64231585329,2656.816611094271,2623833.051227645,7305.853591997575,False,True,0.09706407
20,False,False,21.0,True,738125,738124,0,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.05993323
17,False,False,905.0,True,738125,738122,2,0.021507001745274,52634.47203287891,1496.6656976744189,2081130.513732959,4379.0379911788295,True,True,0.017394086
10,False,False,905.0,True,738125,738123,1,0.0758099960107421,319278.1952746604,6025.801004134672,4654299.678145304,36911.48044890726,True,True,0.1121163
24,False,False,918.0,True,738125,738123,1,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,True,True,0.039715104
26,False,False,57.0,True,738125,738122,2,0.0614580208901009,70047.7136738056,2292.781219110379,1458664.9677100494,5883.518945634267,True,True,0.07157942
17,False,False,471.0,True,738125,738123,1,0.021507001745274,52634.47203287891,1496.6656976744189,2081130.513732959,4379.0379911788295,True,True,0.0221159
22,False,False,834.0,True,738125,738123,1,0.0677970489936238,131517.5985144152,3656.724285534433,2161102.035125268,8992.710562759663,True,True,0.086581826
24,False,False,586.0,True,738125,738123,1,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,True,True,0.06479407
22,False,False,39.0,False,738125,738123,1,0.0677970489936238,131517.5985144152,3656.724285534433,2161102.035125268,8992.710562759663,False,True,0.09013488
17,False,False,480.0,True,738125,738124,0,0.021507001745274,52634.47203287891,1496.6656976744189,2081130.513732959,4379.0379911788295,False,True,0.03366507
20,False,False,189.0,False,738125,738124,0,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.052142687
20,False,False,47.0,True,738125,738123,1,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,False,True,0.0729585
24,False,False,30.0,True,738125,738123,1,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,True,True,0.08327177
20,False,False,27.0,True,738125,738124,0,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.062334623
24,False,False,31.0,True,738125,738123,1,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,False,True,0.04091643
10,False,False,1224.0,True,738125,738123,1,0.0758099960107421,319278.1952746604,6025.801004134672,4654299.678145304,36911.48044890726,True,True,0.10138428
22,False,False,58.0,True,738125,738116,8,0.0677970489936238,131517.5985144152,3656.724285534433,2161102.035125268,8992.710562759663,False,False,0.06969951
24,False,False,838.0,True,738125,738123,1,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,True,True,0.07807368
20,False,False,556.0,True,738125,738124,0,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.083983764
27,False,False,24.0,False,738125,738122,2,0.0677883517706569,92428.59584980235,1828.2168972332013,1481376.8858695652,7176.046936758893,False,False,0.039503768
22,False,False,4017.0,True,738125,738122,2,0.0677970489936238,131517.5985144152,3656.724285534433,2161102.035125268,8992.710562759663,True,True,0.048657328
20,False,False,302.0,True,738125,738123,1,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.05949637
17,False,False,27.0,False,738125,738122,2,0.021507001745274,52634.47203287891,1496.6656976744189,2081130.513732959,4379.0379911788295,False,True,0.068103686
23,False,False,54.0,True,738125,738123,1,0.0824916114898441,130485.77469738384,1985.7491214369384,1901592.7711831315,7480.86138227255,False,True,0.11543213
1,False,False,545.0,True,738125,738123,1,0.0627291328883451,99683.0778887304,1795.0447931526392,2186332.394008559,8207.086162624822,True,True,0.055670537
17,False,False,746.0,True,738125,738122,2,0.021507001745274,52634.47203287891,1496.6656976744189,2081130.513732959,4379.0379911788295,True,True,0.012726076
22,False,False,654.0,True,738125,738123,1,0.0677970489936238,131517.5985144152,3656.724285534433,2161102.035125268,8992.710562759663,True,True,0.07724372
22,False,False,1113.0,True,738125,738124,0,0.0677970489936238,131517.5985144152,3656.724285534433,2161102.035125268,8992.710562759663,True,True,0.11223878
10,False,False,158.0,True,738125,738123,1,0.0758099960107421,319278.1952746604,6025.801004134672,4654299.678145304,36911.48044890726,True,True,0.067155056
20,False,False,3465.0,True,738125,738122,2,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.051584676
24,False,False,93.0,True,738125,738122,2,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,True,True,0.060977403
24,False,False,479.0,True,738125,738123,1,0.0556663436463656,168072.80203485227,3137.0222967853665,3272342.0893494966,11391.870061694988,True,True,0.078461796
22,False,False,694.0,True,738125,738123,1,0.0677970489936238,131517.5985144152,3656.724285534433,2161102.035125268,8992.710562759663,True,True,0.078724615
17,False,False,970.0,False,738125,738123,1,0.021507001745274,52634.47203287891,1496.6656976744189,2081130.513732959,4379.0379911788295,True,True,0.016233506
17,False,False,56.0,True,738125,738123,1,0.021507001745274,52634.47203287891,1496.6656976744189,2081130.513732959,4379.0379911788295,True,True,0.067969464
20,False,False,523.0,True,738125,738123,1,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.13263515
27,False,False,682.0,True,738125,738122,2,0.0677883517706569,92428.59584980235,1828.2168972332013,1481376.8858695652,7176.046936758893,True,True,0.062026374
28,False,False,962.0,False,738125,738123,1,0.0468949418633465,115417.64231585329,2656.816611094271,2623833.051227645,7305.853591997575,False,True,0.110521555
17,False,False,61.0,True,738125,738124,0,0.021507001745274,52634.47203287891,1496.6656976744189,2081130.513732959,4379.0379911788295,True,True,0.029938681
10,False,False,224.0,True,738125,738123,1,0.0758099960107421,319278.1952746604,6025.801004134672,4654299.678145304,36911.48044890726,True,True,0.08490958
20,False,False,481.0,True,738125,738123,1,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.069159254
20,False,False,481.0,True,738125,738121,3,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,False,True,0.04584734
20,False,False,558.0,True,738125,738123,1,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.073855
20,False,False,107.0,True,738125,738123,1,0.0577070598033363,125022.688063934,2296.607373034288,2271570.186581593,10187.033449342614,True,True,0.06510089
